WellName,TotalProdMonths,OIL_BBL
TEXACO-MCMURRY B 70 207HL,3,8832.48225183709
TEXACO-MCMURRY B 70 207HL,4,9571.68597168597
TEXACO-MCMURRY B 70 207HL,5,7518.246356956034
TEXACO-MCMURRY B 70 207HL,6,5391.505791505791
TEXACO-MCMURRY B 70 207HL,7,6863.619379748411
TEXACO-MCMURRY B 70 207HL,8,6810.312616764229
TEXACO-MCMURRY B 70 207HL,9,6302.702702702702
TEXACO-MCMURRY B 70 207HL,10,2328.060779673682
TEXACO-MCMURRY B 70 207HL,11,7665.379665379664
TEXACO-MCMURRY B 70 207HL,12,6703.699090795864
TEXACO-MCMURRY B 70 207HL,13,5473.159795740441
TEXACO-MCMURRY B 70 207HL,14,1553.7782680639823
TEXACO-MCMURRY B 70 207HL,15,6517.872711421098
TEXACO-MCMURRY B 70 207HL,16,6500.9009009009005
TEXACO-MCMURRY B 70 207HL,17,1737.700834475028
TEXACO-MCMURRY B 70 207HL,18,3491.377091377091
TEXACO-MCMURRY B 70 207HL,19,4657.117947440527
TEXACO-MCMURRY B 70 207HL,20,5613.152322829742
TEXACO-MCMURRY B 70 207HL,21,4881.338481338481
TEXACO-MCMURRY B 70 207HL,22,4563.457466683272
TEXACO-MCMURRY B 70 207HL,23,4660.48906048906
TEXACO-MCMURRY B 70 207HL,24,4471.789762112343
TEXACO-MCMURRY B 70 207HL,25,4334.288205255947
TEXACO-MCMURRY B 70 207HL,26,4473.971508454267
TEXACO-MCMURRY B 70 207HL,27,4380.122057541412
TEXACO-MCMURRY B 70 207HL,28,4222.9086229086215
TEXACO-MCMURRY B 70 207HL,29,4612.778677294806
TEXACO-MCMURRY B 70 207HL,30,4606.949806949806
TEXACO-MCMURRY B 70 207HL,31,4101.133391455972
TEXACO-MCMURRY B 70 207HL,32,3994.519865487607
TEXACO-MCMURRY B 70 207HL,33,3601.544401544401
TEXACO-MCMURRY B 70 207HL,34,3308.506663345373
TEXACO-MCMURRY B 70 207HL,35,397.9407979407978
TEXACO-MCMURRY B 70 207HL,36,1315.2322829742184
TEXACO-MCMURRY B 70 207HL,37,2408.768215219828
TEXACO-MCMURRY B 70 207HL,38,1245.4495311638168
TEXACO-MCMURRY B 70 207HL,39,2108.3572051313986
TEXACO-MCMURRY B 70 207HL,40,2271.299871299871
TEXACO-MCMURRY B 70 207HL,41,2266.284717897621
TEXACO-MCMURRY B 70 207HL,42,2195.109395109395
TEXACO-MCMURRY B 70 207HL,43,2605.0566695727985
TEXACO-MCMURRY B 70 207HL,44,2876.5724249595214
TEXACO-MCMURRY B 70 207HL,45,3792.020592020592
TEXACO-MCMURRY B 70 207HL,46,3472.91069871715
TEXACO-MCMURRY B 70 207HL,47,3464.092664092664
TEXACO-MCMURRY B 70 207HL,48,3296.051812180844
TEXACO-MCMURRY B 70 207HL,49,3070.868103126167
TEXACO-MCMURRY B 70 207HL,50,3218.42250413679
TEXACO-MCMURRY B 70 207HL,51,3608.9176734338025
TEXACO-MCMURRY B 70 207HL,52,3057.4002574002566
TEXACO-MCMURRY B 70 207HL,54,273.3590733590733
TEXACO-MCMURRY B 70 207HL,55,1160.2939344874828
TEXACO-MCMURRY B 70 207HL,56,2103.8734587121685
TEXACO-MCMURRY B 70 207HL,57,2094.723294723294
TEXACO-MCMURRY B 70 207HL,58,2404.782662847179
TEXACO-MCMURRY B 70 207HL,59,2397.940797940797
DOOLITTLE 404,1,2817.2169731450435
DOOLITTLE 404,2,10259.762136510964
DOOLITTLE 404,3,8982.024232056185
DOOLITTLE 404,4,8253.472857191236
STRAIN 20 UNIT 1 2044SH,1,16150.183574879224
STRAIN 20 UNIT 1 2044SH,2,13582.646096306684
STRAIN 20 UNIT 1 2044SH,3,10860.052984260556
STRAIN 20 UNIT 1 2044SH,4,7883.844744294518
STRAIN 20 UNIT 1 2044SH,5,7046.43291257597
STRAIN 20 UNIT 1 2044SH,6,5665.855072463767
STRAIN 20 UNIT 1 2044SH,7,1805.9030699703908
STRAIN 20 UNIT 1 2044SH,8,5457.803542673107
STRAIN 20 UNIT 1 2044SH,9,3707.9756895745672
STRAIN 20 UNIT 1 2044SH,10,3024.840268038024
STRAIN 20 UNIT 1 2044SH,11,2750.685990338164
STRAIN 20 UNIT 1 2044SH,12,2683.2725572697523
STRAIN 20 UNIT 1 2044SH,13,2367.381642512077
STRAIN 20 UNIT 1 2044SH,14,1699.3112046127471
STRAIN 20 UNIT 1 2044SH,15,1631.0924107838553
STRAIN 20 UNIT 1 2044SH,16,1034.8378191856452
STRAIN 20 UNIT 1 2044SH,17,1109.9766245909302
STRAIN 20 UNIT 1 2044SH,18,1138.6537842190014
STRAIN 20 UNIT 1 2044SH,19,1045.5477637525323
STRAIN 20 UNIT 1 2044SH,20,1009.417069243156
STRAIN 20 UNIT 1 2044SH,21,1062.6024622097552
STRAIN 20 UNIT 1 2044SH,22,451.4757674925977
STRAIN 20 UNIT 1 2044SH,23,924.7278582930757
STRAIN 20 UNIT 1 2044SH,24,1018.0707495714508
STRAIN 20 UNIT 1 2044SH,25,866.4734299516906
STRAIN 20 UNIT 1 2044SH,26,809.150693470469
STRAIN 20 UNIT 1 2044SH,27,620.6015271933925
STRAIN 20 UNIT 1 2044SH,28,291.62180814354724
STRAIN 20 UNIT 1 2044SH,29,7.579865980988
STRAIN 20 UNIT 1 2044SH,30,21.04991948470209
STRAIN 20 UNIT 1 2044SH,31,242.08196976780425
STRAIN 20 UNIT 1 2044SH,32,375.9613526570048
STRAIN 20 UNIT 1 2044SH,33,375.203366058906
STRAIN 20 UNIT 1 2044SH,34,256.29421848215674
STRAIN 20 UNIT 1 2044SH,35,310.85346215781
STRAIN 20 UNIT 1 2044SH,36,626.7601683029452
STRAIN 20 UNIT 1 2044SH,37,589.8872785829307
TEXACO-MCMURRY B 50 205HL,1,2147.9466252105194
TEXACO-MCMURRY B 50 205HL,2,11269.076305220882
TEXACO-MCMURRY B 50 205HL,3,10034.978624174117
TEXACO-MCMURRY B 50 205HL,4,10095.850066934405
TEXACO-MCMURRY B 50 205HL,5,8581.422464049747
TEXACO-MCMURRY B 50 205HL,6,7087.550200803212
TEXACO-MCMURRY B 50 205HL,7,7930.560953491385
TEXACO-MCMURRY B 50 205HL,8,7299.391112838451
TEXACO-MCMURRY B 50 205HL,9,7489.692101740294
TEXACO-MCMURRY B 50 205HL,10,5993.004275165176
TEXACO-MCMURRY B 50 205HL,11,5414.1900937081655
TEXACO-MCMURRY B 50 205HL,12,5134.343826920585
TEXACO-MCMURRY B 50 205HL,13,3261.562378546444
TEXACO-MCMURRY B 50 205HL,14,798.0493402180148
TEXACO-MCMURRY B 50 205HL,15,6331.390076434771
TEXACO-MCMURRY B 50 205HL,16,5634.805890227576
TEXACO-MCMURRY B 50 205HL,17,1843.2439435159995
TEXACO-MCMURRY B 50 205HL,18,3341.90093708166
TEXACO-MCMURRY B 50 205HL,19,4819.277108433735
TEXACO-MCMURRY B 50 205HL,20,4525.974867210778
TEXACO-MCMURRY B 50 205HL,21,4231.325301204819
TEXACO-MCMURRY B 50 205HL,22,4322.839746081098
TEXACO-MCMURRY B 50 205HL,23,4916.198125836679
TEXACO-MCMURRY B 50 205HL,24,4860.733255603057
