WellName,TotalProdMonths,OIL_BBL
DARK STAR UNIT 1 2111AH,15,1827.6987346558035
DARK STAR UNIT 1 2111AH,16,1416.9375757331588
DARK STAR UNIT 1 2111AH,17,1686.130592115797
DARK STAR UNIT 1 2111AH,18,1566.2624465800377
DARK STAR UNIT 1 2111AH,19,1367.3039356966724
DARK STAR UNIT 2 2117AH,1,7542.515208439595
DARK STAR UNIT 2 2117AH,2,11210.952564596992
DARK STAR UNIT 2 2117AH,3,8267.283712559454
DARK STAR UNIT 2 2117AH,4,5791.498202356219
DARK STAR UNIT 2 2117AH,5,4670.49749325106
DARK STAR UNIT 2 2117AH,6,3389.995397036687
DARK STAR UNIT 2 2117AH,7,2880.857892838037
DARK STAR UNIT 2 2117AH,8,2397.113106715883
DARK STAR UNIT 2 2117AH,9,2083.823694064665
DARK STAR UNIT 2 2117AH,10,1652.0889574495434
DARK STAR UNIT 2 2117AH,11,1757.1625841284847
DARK STAR UNIT 2 2117AH,12,1833.3204782105668
DARK STAR UNIT 2 2117AH,13,1289.153179154796
DARK STAR UNIT 2 2117AH,14,758.2697834119155
DARK STAR UNIT 2 2117AH,15,860.2391052834553
DARK STAR UNIT 2 2117AH,16,1370.9366408320166
DARK STAR UNIT 2 2117AH,17,1493.8166859493506
MEEK-HARDIN 3A 1H,1,15713.964552726511
MEEK-HARDIN 3A 1H,2,22558.77903835764
MEEK-HARDIN 3A 1H,3,18934.438228681964
MEEK-HARDIN 3A 1H,4,15709.991112040569
MEEK-HARDIN 3A 1H,5,13817.85521339816
MEEK-HARDIN 3A 1H,6,11533.40827103048
MEEK-HARDIN 3A 1H,7,7234.06266882766
MEEK-HARDIN 3A 1H,8,9157.7874209233
MEEK-HARDIN 3A 1H,9,9482.616196999006
MEEK-HARDIN 3A 1H,10,8539.009668585479
MEEK-HARDIN 3A 1H,11,8113.7658806922145
MEEK-HARDIN 3A 1H,12,7069.827120475416
MEEK-HARDIN 3A 1H,13,6994.745647513984
MEEK-HARDIN 3A 1H,14,6683.360345759048
MEEK-HARDIN 3A 1H,15,6586.474617033512
MEEK-HARDIN 3A 1H,16,6549.720290688555
MEEK-HARDIN 3A 1H,17,6491.923284710966
MEEK-HARDIN 3A 1H,18,5894.599257593976
MEEK-HARDIN 3A 1H,19,3822.069151809832
MEEK-HARDIN 3A 1H,20,2153.1081716944627
MEEK-HARDIN 3A 1H,21,4119.9613112354255
MEEK-HARDIN 3A 1H,22,2935.8937253993977
MEEK-HARDIN 3A 1H,23,4281.382339101793
MEEK-HARDIN 3A 1H,24,3962.182603997838
MEEK-HARDIN 3A 1H,25,3496.131123542636
MEEK-HARDIN 3A 1H,26,2382.4419232847104
MEEK-HARDIN 3A 1H,27,3372.9544622784542
MEEK-HARDIN 3A 1H,28,3438.019553510744
MEEK-HARDIN 3A 1H,29,3448.946515397082
MEEK-HARDIN 3A 1H,30,3342.1602969624087
MEEK-HARDIN 3A 1H,31,3311.91247974068
MEEK-HARDIN 3A 1H,32,3143.9849427510844
MEEK-HARDIN 3A 1H,33,3017.828200972447
MEEK-HARDIN 3A 1H,34,2899.600601991201
MEEK-HARDIN 3A 1H,35,2693.496104982485
